,Document,ClusterLabel
0,聚力·焕新，耀视界。2022#微博视界大会#，以“微博之力”汇聚剧综先锋力量。风起洛阳时，梦回神都日。11月29日，与我一起，向光而行，焕新出发，共赴美好生活！一起聊聊#剧综作品中你最敬仰的人物角色#吧！#风起洛阳#,10
1,#王一博百里弘毅# 恭喜风起洛阳王一博百里弘毅 登剧集人物角色提及量 百里弘毅这角色演绎得很出色 聪明绝顶 有勇有谋 做正确的事 不会武功还总是冲在最前方 @UNIQ-王一博 #风起洛阳# 丨 #微博剧综行业报告# 菲菲儿·YiBo的微博视频,12
2,角色单人cut/ #色链分享# 卿卿日常 色链✘18 预览如下，只试了#卿卿日常# 和#风起洛阳# 两部剧，其他未知，感觉都挺通用 三连带截图和色链名，缺一不发 晚上统一发，还没想好色链名，勿催 xz一切粉丝勿扰,4
3,张俪 张俪｜风起洛阳｜窈娘 “骄傲的人连拭泪都是带着一股傲气” 歌排感谢：他的愿都实现了吗 #张俪##风起洛阳##没想到你是这样的张俪# kronosvency_的微博视频,9
4,#青年演员王一博# 💚💚💚#王一博风起洛阳# 最近运气不咋滴，再来看看我们的百里弘毅大婚来沾沾喜气！这是我们王一博宝贝首部屏幕婚礼。大家吃好，喝好，玩好，不要太见外啊。恭贺百里家二郎与柳家七娘喜结连理！@UNIQ-王一博 #风起洛阳#   《风起洛阳》百里弘毅柳然大婚,12
5,"王一博💚#风起洛阳#💚#电影无名#

晚上好呀谢允，百里弘毅，蓝忘机！ 💚",8
6,二郎不要难过了#王一博##风起洛阳#王一博 藏进宇宙里li的微博视频,8
7,#风起洛阳# 看到第20集，因为七娘想弃剧，又因为没看到结局不死心，真是太难受了，为什么要有柳七娘这种膈应人的人设？？？,4
8,“不要碰她”“自与你成婚之后 你能懂我 琴瑟和鸣 我觉得很好”#风起洛阳##王一博##宋轶# 魔法水果糖的微博视频,14
9,"#风起洛阳#
我的窈娘，为什么是你。",4
10,黄轩的剧，看一眼，能追完不？#风起洛阳#,6
11,"#风起洛阳# 好好看
起初因为百里二郎#王一博百里弘毅# 和柳七娘想看
可是探案剧，我又想放弃怕他俩的戏份少就放弃了
实际上他俩戏份一点也不少，每集都有哦
而且！！探案过程真的吸引人
而且第一集就能爱上，场景和滤镜都好好看，后悔这么快就看完了",4
12,最近追了：#民间怪谈录 ##昆仑神宫##促醒者##风起洛阳#,4
13,恭喜#风起洛阳# ，恭喜我的时代和我2，恭喜#余生请多指教# ，恭喜#王牌部队# ，恭喜#这就是街舞# ，恭喜#王一博# 恭喜#肖战#,4
14,"博君一肖
我不管 就是同台了 采访一下肖战坐在台下看风起洛阳的心情#博君一肖##风起洛阳#",4
15,#风起洛阳#同台了同台了,4
16,想看#风起洛阳# 了，想念#王一博百里弘毅# 百里二郎，98一年我冲不冲呢？,8
17,王一博#风起洛阳# 喜欢王一博演的沉稳睿智的理工男百里弘毅！剧情紧凑荡气回肠，不愧是良心好剧！@UNIQ-王一博 #王一博#,12
18,挺好看的呀，我怎么现在才发现这剧🙃#风起洛阳#,4
19,#风起洛阳# 不良井人住在神都阴暗潮湿的下水道井下。终身不得踏出不良井半步，生老病死都在这井下，官家和圣人知道有“不良井”这个地方，但永远也不会踏入不良井半步，更不会把这帮下等人出生的反骨仔放出来。,6
20,不想上班 想去大唐和高秉竹一起查案#风起洛阳#,4
21,有妻如此，夫复何求呀，七娘跟二郎甜甜甜#风起洛阳##王一博##宋轶# 魔法水果糖的微博视频,14
22,"#风起洛阳#·#台词分享打卡#

“我凭什么相信你？！”

#王一博百里弘毅#|#王一博风起洛阳#",12
23,"#王一博百里弘毅#

恭喜风起洛阳王一博百里弘毅
登剧集人物角色提及量
百里弘毅这角色演绎得很出色
聪明绝顶 有勇有谋 做正确的事
不会武功还总是冲在最前方
@UNIQ-王一博

#风起洛阳# 丨
#微博剧综行业报告# 菲菲儿·YiBo的微博视频",12
24,"#王一博风起洛阳# 王一博 #王一博百里弘毅#
百里府的喵来啦！百里弘毅小公子最近好吗？想你了呢！@UNIQ-王一博
#王一博# 风起洛阳 #风起洛阳# wyb #青年演员王一博#
YIBO-OFFICIAL的微博视频",12
25,#追剧打卡#看完了风起洛阳，百里二郎和高秉烛的结局一个没有了阿爷，一个没有了阿娘，申非走了，武思月也没了，太刀了吧幸好二郎身边还有个七娘，但是高秉烛依旧是一个人#风起洛阳##黄轩#风起洛阳#王一博风起洛阳#,6
26,"我的男孩也太好看了吧

#风起洛阳# #王一博# 小八娱的微博视频",14
27,#剧综作品中你最敬仰的人物角色#百里弘毅#微博视界大会##王一博百里弘毅# @UNIQ-王一博 #风起洛阳# @风起洛阳官微,12
28,"王一博#王一博# wyb#风起洛阳#
风起洛阳危机重重，
和神都少年王一博百里弘毅一起探案
拨云见日",12
