wid,user_name,user_id,gender,publish_time,text,like_count,comment_count,forward_count
4839279648052589,风起洛阳官微,7507224548,m,2022-11-24 10:40:40,聚力·焕新，耀视界。2022#微博视界大会#，以“微博之力”汇聚剧综先锋力量。风起洛阳时，梦回神都日。11月29日，与我一起，向光而行，焕新出发，共赴美好生活！一起聊聊#剧综作品中你最敬仰的人物角色#吧！#风起洛阳#,6687,722,402
4840128558662255,菲菲儿·YiBo,7331734233,f,2022-11-26 18:53:55,#王一博百里弘毅# 恭喜风起洛阳王一博百里弘毅 登剧集人物角色提及量 百里弘毅这角色演绎得很出色 聪明绝顶 有勇有谋 做正确的事 不会武功还总是冲在最前方 @UNIQ-王一博 #风起洛阳# 丨 #微博剧综行业报告# 菲菲儿·YiBo的微博视频,451,401,20
4836344968512294,-零度沸騰-,7723140534,f,2022-11-16 08:19:18,角色单人cut/ #色链分享# 卿卿日常 色链✘18 预览如下，只试了#卿卿日常# 和#风起洛阳# 两部剧，其他未知，感觉都挺通用 三连带截图和色链名，缺一不发 晚上统一发，还没想好色链名，勿催 xz一切粉丝勿扰,87,79,66
4838531132031863,kronosvency_,6667716846,f,2022-11-22 09:06:20,张俪 张俪｜风起洛阳｜窈娘 “骄傲的人连拭泪都是带着一股傲气” 歌排感谢：他的愿都实现了吗 #张俪##风起洛阳##没想到你是这样的张俪# kronosvency_的微博视频,123,26,10
4837880705583736,YIBO---大摩托,6078022194,f,2022-11-20 14:01:46,#青年演员王一博# 💚💚💚#王一博风起洛阳# 最近运气不咋滴，再来看看我们的百里弘毅大婚来沾沾喜气！这是我们王一博宝贝首部屏幕婚礼。大家吃好，喝好，玩好，不要太见外啊。恭贺百里家二郎与柳家七娘喜结连理！@UNIQ-王一博 #风起洛阳#   《风起洛阳》百里弘毅柳然大婚,110,302,1
4842705978402443,花月沧邪852058,7453683003,f,2022-12-03 21:35:41,"王一博💚#风起洛阳#💚#电影无名#

晚上好呀谢允，百里弘毅，蓝忘机！ 💚",5,35,0
4842634515852535,藏进宇宙里li,6591072480,f,2022-12-03 16:51:43,二郎不要难过了#王一博##风起洛阳#王一博 藏进宇宙里li的微博视频,0,1,0
4842590387576358,-皮卡兵,3602579655,f,2022-12-03 13:56:22,#风起洛阳# 看到第20集，因为七娘想弃剧，又因为没看到结局不死心，真是太难受了，为什么要有柳七娘这种膈应人的人设？？？,0,2,0
4842538270203580,魔法水果糖,5892408734,f,2022-12-03 10:29:16,“不要碰她”“自与你成婚之后 你能懂我 琴瑟和鸣 我觉得很好”#风起洛阳##王一博##宋轶# 魔法水果糖的微博视频,5,0,0
4842536412382011,我叫不解风情,6339334045,f,2022-12-03 10:21:53,"#风起洛阳#
我的窈娘，为什么是你。",0,1,0
4842347958109389,守护一份美好的信仰,7099492772,m,2022-12-02 21:53:01,黄轩的剧，看一眼，能追完不？#风起洛阳#,1,0,0
4842345507596116,看你像块含水梨,5671111084,f,2022-12-02 21:43:18,"#风起洛阳# 好好看
起初因为百里二郎#王一博百里弘毅# 和柳七娘想看
可是探案剧，我又想放弃怕他俩的戏份少就放弃了
实际上他俩戏份一点也不少，每集都有哦
而且！！探案过程真的吸引人
而且第一集就能爱上，场景和滤镜都好好看，后悔这么快就看完了",0,0,0
4842344539494873,你也爱郁金香嘛,7752159912,m,2022-12-02 21:39:27,最近追了：#民间怪谈录 ##昆仑神宫##促醒者##风起洛阳#,0,0,0
4841252069581264,DAYCANDY-鱼哈哈讨厌胡萝卜,5519868547,f,2022-11-29 21:18:22,恭喜#风起洛阳# ，恭喜我的时代和我2，恭喜#余生请多指教# ，恭喜#王牌部队# ，恭喜#这就是街舞# ，恭喜#王一博# 恭喜#肖战#,2,1,0
4841235422913637,琑叁肆热恋,7552008369,f,2022-11-29 20:12:13,"博君一肖
我不管 就是同台了 采访一下肖战坐在台下看风起洛阳的心情#博君一肖##风起洛阳#",0,0,0
4841234390857418,HELLO·BX,7437159791,f,2022-11-29 20:08:07,#风起洛阳#同台了同台了,0,1,0
4841122263990540,半糖忧吖,7337881488,f,2022-11-29 12:42:33,想看#风起洛阳# 了，想念#王一博百里弘毅# 百里二郎，98一年我冲不冲呢？,0,1,0
4840920803452297,地地88889,5376360106,f,2022-11-28 23:22:02,王一博#风起洛阳# 喜欢王一博演的沉稳睿智的理工男百里弘毅！剧情紧凑荡气回肠，不愧是良心好剧！@UNIQ-王一博 #王一博#,1,0,0
4840888692644353,喧泫5580,3217674370,f,2022-11-28 21:14:26,挺好看的呀，我怎么现在才发现这剧🙃#风起洛阳#,0,0,0
4840791204435034,梦龙宝二哥,2610484411,m,2022-11-28 14:47:03,#风起洛阳# 不良井人住在神都阴暗潮湿的下水道井下。终身不得踏出不良井半步，生老病死都在这井下，官家和圣人知道有“不良井”这个地方，但永远也不会踏入不良井半步，更不会把这帮下等人出生的反骨仔放出来。,0,1,0
4840757468335889,Yourschen,2884065560,f,2022-11-28 12:33:00,不想上班 想去大唐和高秉竹一起查案#风起洛阳#,0,1,0
4840712858504484,魔法水果糖,5892408734,f,2022-11-28 09:35:44,有妻如此，夫复何求呀，七娘跟二郎甜甜甜#风起洛阳##王一博##宋轶# 魔法水果糖的微博视频,1,0,0
4840675122874316,怡与博_YiBo,7254737503,f,2022-11-28 07:05:47,"#风起洛阳#·#台词分享打卡#

“我凭什么相信你？！”

#王一博百里弘毅#|#王一博风起洛阳#",3,2,0
4840199744658078,用户平平屋企,6825659921,f,2022-11-26 23:36:48,"#王一博百里弘毅#

恭喜风起洛阳王一博百里弘毅
登剧集人物角色提及量
百里弘毅这角色演绎得很出色
聪明绝顶 有勇有谋 做正确的事
不会武功还总是冲在最前方
@UNIQ-王一博

#风起洛阳# 丨
#微博剧综行业报告# 菲菲儿·YiBo的微博视频",1,0,0
